stream,sample_index,receive_gap_ms,exchange_event_gap_ms,sampled_from_total
depth,4950,102.337183,102.000,17554
depth,4967,182.830254,102.000,17554
depth,4985,101.798903,102.000,17554
depth,5002,131.356811,102.000,17554
depth,5020,104.147068,104.000,17554
depth,5037,103.619093,104.000,17554
depth,5055,37.028345,102.000,17554
depth,5073,183.924415,102.000,17554
depth,5090,145.852611,104.000,17554
depth,5108,102.393235,102.000,17554
depth,5125,0.736071,102.000,17554
depth,5143,104.25897,104.000,17554
depth,5160,96.502513,102.000,17554
depth,5178,56.723451,102.000,17554
depth,5195,96.937249,102.000,17554
depth,5213,118.126129,102.000,17554
depth,5231,0.618083,102.000,17554
depth,5248,1.708554,104.000,17554
depth,5266,103.68225,104.000,17554
depth,5283,101.297954,102.000,17554
depth,5301,89.22078,102.000,17554
depth,5318,102.288408,102.000,17554
depth,5336,61.722397,104.000,17554
depth,5353,102.137507,102.000,17554
depth,5371,127.075994,102.000,17554
depth,5389,104.635935,104.000,17554
depth,5406,101.957328,102.000,17554
depth,5424,102.029636,102.000,17554
depth,5441,102.073938,102.000,17554
depth,5459,24.195012,102.000,17554
depth,5476,31.418752,102.000,17554
depth,5494,135.272635,102.000,17554
depth,5511,91.703915,104.000,17554
depth,5529,101.795077,102.000,17554
depth,5547,97.373289,102.000,17554
depth,5564,101.874469,102.000,17554
depth,5582,18.418581,102.000,17554
depth,5599,101.947189,102.000,17554
depth,5617,127.60688,102.000,17554
depth,5634,96.091527,102.000,17554
depth,5652,101.932701,102.000,17554
depth,5669,35.306047,102.000,17554
depth,5687,101.518399,102.000,17554
depth,5705,48.409694,102.000,17554
depth,5722,8.113589,102.000,17554
depth,5740,118.689537,102.000,17554
depth,5757,101.930675,102.000,17554
depth,5775,101.841123,102.000,17554
depth,5792,50.664399,102.000,17554
depth,5810,169.746163,102.000,17554
depth,5827,128.721957,102.000,17554
depth,5845,92.886966,102.000,17554
depth,5863,108.180499,102.000,17554
depth,5880,102.176754,102.000,17554
depth,5898,189.667339,102.000,17554
depth,5915,90.584859,102.000,17554
depth,5933,112.779598,102.000,17554
depth,5950,4.651559,102.000,17554
depth,5968,101.703319,102.000,17554
depth,5985,36.162034,102.000,17554
depth,6003,102.183415,102.000,17554
depth,6021,179.600002,102.000,17554
depth,6038,89.363613,102.000,17554
depth,6056,136.844123,104.000,17554
depth,6073,104.434136,104.000,17554
depth,6091,106.89539,102.000,17554
depth,6108,131.805752,102.000,17554
depth,6126,0.526587,104.000,17554
depth,6143,88.580042,102.000,17554
depth,6161,0.591703,104.000,17554
depth,6179,83.714201,102.000,17554
depth,6196,22.209719,102.000,17554
depth,6214,102.008176,102.000,17554
depth,6231,36.790236,102.000,17554
depth,6249,112.7981,102.000,17554
depth,6266,105.131338,104.000,17554
depth,6284,125.684428,104.000,17554
depth,6301,16.95814,102.000,17554
depth,6319,97.077498,104.000,17554
depth,6336,103.902108,104.000,17554
depth,6354,135.909133,102.000,17554
depth,6372,109.702103,102.000,17554
depth,6389,101.86416,102.000,17554
depth,6407,102.558582,102.000,17554
depth,6424,79.062558,102.000,17554
depth,6442,42.833736,102.000,17554
