side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
SHORT,250,1000,EXTREME,1782,100.0,-10.055915474217556,-10.052741170268845,0.0,-10.05281968978661,-10.052680630587938,-7.625205409658206,-12.159473795054888,10.057610964554408,0.000883311435677502
SHORT,250,1000,HIGH,1805,99.88919667590028,-10.057771288548327,-10.052739224172013,0.0,-10.052824988516306,-10.05267536077752,-7.349953335808088,-11.906378575160401,10.054000390287662,2.315579376100324e-05
SHORT,250,1000,LOW,3232,100.0,-10.048134606073045,-10.05272782848831,0.0,-10.052803799973612,-10.052670923860113,-8.066494932045698,-11.971929199255186,10.049529084404949,1.528801128531513e-05
SHORT,250,1000,MEDIUM,373,100.0,-10.046505363374823,-10.052717271031582,0.0,-10.052778563633677,-10.052668428422527,-7.222556114667905,-10.967165531785513,10.058211790655353,0.0004353092494418915
SHORT,250,500,EXTREME,1782,100.0,-10.055535937449028,-10.052741170268845,0.0,-10.05281968978661,-10.052680630587938,-7.6251479265902935,-12.159405645473104,10.057231624405153,0.0005039712864217596
SHORT,250,500,HIGH,1805,99.88919667590028,-10.05774812183944,-10.052739224172013,0.0,-10.052824988516306,-10.05267536077752,-7.349930183009311,-11.906355437453339,10.053977234493901,0.0
SHORT,250,500,LOW,3232,100.0,-10.048133584413554,-10.05272782848831,0.0,-10.052803799973612,-10.052670923860113,-8.066493910179405,-11.971928178218274,10.049528063214646,1.4266820984332077e-05
SHORT,250,500,MEDIUM,373,100.0,-10.046376077091832,-10.052717271031582,0.0,-10.052778563633677,-10.052668428422527,-7.222489879314398,-10.967099312120649,10.058082567336822,0.00030608593091099824
SHORT,500,100,EXTREME,1782,100.0,-10.056490806308275,-10.052741170268845,0.0,-10.052831683168316,-10.052675083448284,-7.624942305366811,-12.15920013216372,10.054673064708222,0.00015340815313862822
SHORT,500,100,HIGH,1805,99.83379501385042,-10.057885759432251,-10.052739224172013,0.0,-10.052828056687858,-10.052674528798567,-7.349930183009311,-11.906355437453339,10.051009930422596,1.875419512578741e-05
SHORT,500,100,LOW,3232,100.0,-10.04678857087754,-10.052727689547318,0.0,-10.052807701848929,-10.052670923860113,-8.066485735249058,-11.971920009922968,10.050286657720187,6.0972985764676486e-06
SHORT,500,100,MEDIUM,373,100.0,-10.026635744229129,-10.052701720377998,0.0,-10.052781793051057,-10.052662329459324,-7.2224168430381965,-10.967026293143968,10.047111373906146,7.677575300153527e-05
SHORT,500,1000,EXTREME,1782,100.0,-10.057363714889746,-10.052741170268845,0.0,-10.052831683168316,-10.052675083448284,-7.625205409658206,-12.159473795054888,10.055545514491385,0.0010258579363024256
SHORT,500,1000,HIGH,1805,99.83379501385042,-10.058025524844147,-10.052739224172013,0.0,-10.052828056687858,-10.052674528798567,-7.349953335808088,-11.906378575160401,10.051149615786583,0.00015843955911188482
SHORT,500,1000,LOW,3232,100.0,-10.046797765788693,-10.052727689547318,0.0,-10.052807701848929,-10.052670923860113,-8.066494932045698,-11.971929199255186,10.050295848432897,1.528801128531513e-05
SHORT,500,1000,MEDIUM,373,100.0,-10.026994456121912,-10.052701720377998,0.0,-10.052781793051057,-10.052662329459324,-7.222556114667905,-10.967165531785513,10.047469907402585,0.0004353092494418915
SHORT,500,500,EXTREME,1782,100.0,-10.057035027541092,-10.052741170268845,0.0,-10.052831683168316,-10.052675083448284,-7.6251479265902935,-12.159405645473104,10.055217000282775,0.0006973437276931657
SHORT,500,500,HIGH,1805,99.83379501385042,-10.05794527620823,-10.052739224172013,0.0,-10.052828056687858,-10.052674528798567,-7.349930183009311,-11.906355437453339,10.051069411331072,7.823510359940119e-05
SHORT,500,500,LOW,3232,100.0,-10.046796744129201,-10.052727689547318,0.0,-10.052807701848929,-10.052670923860113,-8.066493910179405,-11.971928178218274,10.050294827242595,1.4266820984332077e-05
