configuration,period_type,period,with_funding_net_pnl,without_funding_net_pnl,difference,pnl_explained_percent,long_effect,short_effect,warning,diagnostic_only
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2022-Q3,287.6599883021155708941192100,294.1483211488682181932142885,-6.4883328467526472990950785,2.255556250644862244665518975,-4.961027752876527415036445,-1.361770200550316701558633,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2022-Q4,-452.7204443954018686056976002,-450.3227540722370598728571435,-2.3976903231648087328404567,0.5296183003987971165238290224,-0.669507241978577667000000,-2.184746958264946600126171,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2023-Q1,-79.05917404658010553033778858,-78.24060360312233745107142974,-0.81857044345776807926635884,1.035389571582777381626816410,-0.969684232298540832480000,0.055461599357394263570784,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2023-Q2,0,0,0,,0,0,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2023-Q3,-50.82858252310502515000000062,-50.39107036279686017142857205,-0.43751216030816497857142857,0.8607601050241488434670248001,0,-0.500515518412816900000000,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2023-Q4,-68.73666785228235088285714323,-68.82633165316289127428571466,0.08966380088054039142857143,0.1304453702545360880028762644,0,0,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2024-Q1,-342.3680924697543554829942866,-344.5833924150309108835714295,2.2152999452765554005771429,0.6470521038616530773091669131,-1.090934307551340000000000,2.879565404920736427720000,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2024-Q2,-28.1364289912748598636058909,-24.2711489227024358335714290,-3.8652800685724240300344619,13.73763553921875438513671629,-5.008502312182270005361829,1.105853713905695110684510,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2024-Q3,30.05030965171681809271258555,29.33321402118498224357142942,0.71709563053183584914115613,2.386316942630463470517384578,0,0.748769865273321829855442,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2024-Q4,-77.82729616598474061558965391,-76.65080437432775019857142805,-1.17649179165699041701822586,1.511669876270465691017568343,-2.359156673220070477831515,1.042237029412022146170432,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2025-Q1,360.4114243437923196021651474,356.9934499051101783364285717,3.4179744386821412657365757,0.9483535226180218672256166950,0,3.937939129060983615022290,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2025-Q2,391.3688338812937424373328595,396.2587609246364275907142833,-4.8899270433426851533814238,1.249442117004608274681717511,-4.169502240488632553181138,-0.240446490499355941986000,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2025-Q3,243.7998660190074951730355649,251.6221986453709815975000003,-7.8223326263634864244644354,3.208505711710944851866492478,-7.394219863947913893035864,0,,True
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,QUARTER,2025-Q4,199.8661033756484756701198943,196.5179975191932459846428566,3.3481058564552296854770377,1.675174429233986954378119040,-0.505162075901979400000000,4.418916483855530230119895,,True
