configuration,dimension,period,side,trades,gross_pnl,fees,funding,net_pnl
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,REGIME,TRENDING_DOWN,SHORT,83,-175.1836056465522842857142867,177.1584583420095898021428571,-1.498814248913889621422009,-353.8408782374757637092791527
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,REGIME,TRENDING_UP,LONG,47,469.4497160392860485714285720,109.5191829301539299542857143,-12.548169159177511200354465,347.3823639499546074167883928
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VOLATILITY,EXTREME,LONG,45,156.4881043514028099999999996,104.2655452116353014150000000,-10.660377832635493846707441,41.56218130713201473829255871
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VOLATILITY,EXTREME,SHORT,84,178.7976011998440499999999986,177.5622855920005934450000000,-1.265221731273683341781625,-0.0299061234302267867816263
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VOLATILITY,HIGH,LONG,9,-64.31374082922128428571428472,21.51517457040502188785714285,-2.878030161874246917147024,-88.70694556150055309071845157
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VOLATILITY,HIGH,SHORT,6,-43.29555963952495857142857113,14.10190775755334766928571429,0.399850789455833357640000,-56.99761660762247288307428542
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2022,LONG,19,-234.7459464137336485714285706,42.72413546025788444571428571,-3.403532875018265651747010,-280.8736147490097986688898662
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2022,SHORT,46,-173.1300549266046442857142866,97.69309649735026916214285714,-3.885973308160589064442308,-274.7091247321155025122994516
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2023,LONG,5,-56.61755436839876857142857199,11.74497763784569062571428571,-0.950914451068713840300000,-69.31344645731317303744285771
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2023,SHORT,2,-16.73827443758263,4.708370336926778195,-0.119936653205643712000000,-21.566581427715051907000000
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2024,LONG,11,-23.92132615930950142857142833,24.88047674215791651928571428,-3.189354682792552456189015,-51.99115758425997040404615761
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2024,SHORT,19,-365.0546853701117171428571420,40.02525193208290108857142857,2.176558939968223504860100,-402.9033783622263947265684705
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2025,LONG,19,407.4591904636234442857142857,46.43112994177883171214285713,-5.994605985630208815618440,355.0334545362144037579529887
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,YEAR,2025,SHORT,23,690.4250562946180828571428559,49.23747458319399266857142856,0.963980079580159287440583,642.1515617910042494760120104
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q1,LONG,2,-41.09944385364399,5.008738646632107885,-1.119669943022185717580000,-47.227852443298283602580000
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q1,SHORT,11,-76.78836148071058999999999932,26.06640825011523635500000001,1.935874148115817922069366,-100.9188955827100084329306333
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,QUARTER,2022-Q2,LONG,4,-172.3852748201339314285714290,8.691317122774959904285714285,-0.864089703656566182807341,-181.9406816465654575156644843
